escenario,nombre_html,nombre_xlsx,voto_html,voto_xlsx,provincia_html,provincia_xlsx,bloque_html,bloque_xlsx,familia_html,fuente_voto,fuente_distrito,confianza,cambia_provincia,cambia_voto,observaciones
YPF_SENADO,"LEGUIZAMÓN, María Laura","LEGUIZAMÓN, MARÍA LAURA",AFIRMATIVO,AFIRMATIVO,Buenos Aires,Buenos Aires,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"LINARES, Jaime","LINARES, JAIME",AFIRMATIVO,AFIRMATIVO,Buenos Aires,Buenos Aires,GEN,GEN,Centroizquierda,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"LÓPEZ, Osvaldo Ramón","LÓPEZ, OSVALDO RAMÓN",AFIRMATIVO,AFIRMATIVO,Entre Ríos,Tierra del Fuego,Nuevo Encuentro,NUEVO ENCUENTRO,Centroizquierda,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"LORES, Horacio","LORES, HORACIO",AFIRMATIVO,AFIRMATIVO,Neuquén,Neuquén,Movimiento Popular Neuquino,MOVIMIENTO POPULAR NEUQUINO,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"LUNA, Mirtha María Teresita","LUNA, MIRTHA MARÍA TERESITA",AFIRMATIVO,AFIRMATIVO,La Pampa,La Rioja,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"MANSILLA, Sergio Francisco","MANSILLA, SERGIO FRANCISCO",AFIRMATIVO,AFIRMATIVO,Corrientes,Tucumán,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"MARINO, Juan Carlos","MARINO, JUAN CARLOS",AFIRMATIVO,AFIRMATIVO,La Pampa,La Pampa,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"MARTÍNEZ, Alfredo Anselmo","MARTÍNEZ, ALFREDO ANSELMO",AFIRMATIVO,AFIRMATIVO,Tucumán,Santa Cruz,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"MAYANS, José Miguel Ángel","MAYANS, JOSÉ MIGUEL ÁNGEL",AFIRMATIVO,AFIRMATIVO,Formosa,Formosa,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"MEABE, Josefina Angélica","MEABE, JOSEFINA ANGELICA",AFIRMATIVO,AFIRMATIVO,Corrientes,Corrientes,Partido Liberal de Corrientes,PARTIDO LIBERAL DE CORRIENTES,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
